tracks,idTracks,artist,idArtist,nameAlbumTr,idAlbumTr,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
abcdefu (angrier),1EQFOouqdKYdpbNoOHRVO2,GAYLE,2VSHKHBTiXWplO8lxcnUC9,abcdefu (angrier),23M1xUF2RoRSvXtpwQP4rJ,0.671,0.599,4,-6.18,1,0.0405,0.0658,0.0,0.101,0.448,121.849,159836
Come Nelle Favole,71LtXfhnWA7kR8Ntk1VE8R,Vasco Rossi,5l4nhyz8876RhgE2d18h65,VASCONONSTOP,1UegELBIi5854L79kswXuE,0.576,0.748,2,-4.798,1,0.0381,0.0398,0.0,0.369,0.437,110.056,253733
Ringo Starr,5yfE6GXTuJaAlepKoE0wJE,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,Fuori dall'Hype Ringo Starr,56JsicBPrw88plclhKK74J,0.754,0.925,4,-2.912,0,0.0512,0.304,0.0,0.313,0.857,114.077,183333
Dam,6K5tKYr2xhvHXSAVwhMEcu,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn,Entro in pass,7rwFY0BOEkfrwUx8p6OXZU,0.77,0.931,5,-3.812,0,0.0523,0.0242,3.34e-06,0.109,0.764,128.101,147213
Andrea,0DSq4f2grIJOrawmfXkrRy,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.367,0.596,11,-8.04,0,0.118,0.281,0.0,0.125,0.325,175.658,185125
VOLANTE 4 (feat. Ketama126 & Franco126),3IW5tZl52SCJW3BOuE9CIn,"['Noyz Narcos', 'Ketama126', 'Night Skinny', 'Franco126']","['49UAapOfpOg1ZOU4xf2NgY', '0pSx3asj3usz5PRt8COo0E', '2E6AK3UPEGCvjnzuygCh2h', '2KkO9uXHF9BVNJASjLekAc']",VIRUS,1PuzNok4t4FnyY92G202UU,0.464,0.654,11,-5.449,0,0.239,0.322,4.76e-06,0.724,0.258,113.082,208941
La cosa giusta (feat. Inoki),5wkC3Rv4WslbUXmj9F5irF,"['Jake La Furia', 'Inoki']","['6JFRI91YaCXREGQYzHSnUH', '0nKxW51VOD6px2uMM4ehfF']",Ferro del mestiere,3MmCBPYzRAiMZc5tFMu0NL,0.629,0.662,6,-7.119,0,0.395,0.0942,1.46e-05,0.115,0.266,176.112,166859
Il meglio di te,4544onOpxe51skG7KWeohk,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.722,0.592,4,-6.161,0,0.0805,0.104,9.89e-06,0.293,0.552,81.989,157013
Passerà (feat. Franco126),4SbZLGf9PGenzAzbM4Fivh,"['Gianni Bismark', 'Franco126']","['26PZBCQnswFp61ccTrVJOa', '2KkO9uXHF9BVNJASjLekAc']",Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.712,0.723,2,-6.46,1,0.0554,0.306,0.0,0.303,0.202,114.979,239500
UOMO A TERRA,3aaxVh7kAA5h5IszxwYjYR,"['Noyz Narcos', 'Night Skinny']","['49UAapOfpOg1ZOU4xf2NgY', '2E6AK3UPEGCvjnzuygCh2h']",VIRUS,1PuzNok4t4FnyY92G202UU,0.879,0.785,10,-4.959,0,0.268,0.0466,0.0,0.223,0.712,98.001,123061
PARTENOPE,60NC3OqjiISKBYbscb8vW3,LIBERATO,4X89u81dkCXBSGo8i2DhMW,LIBERATO II,2C6181H1enBSZDL8kbhUXQ,0.692,0.552,0,-8.845,1,0.072,0.0652,0.0,0.19,0.747,133.051,217444
Ulisse,0M0fitIB6l5CFlm9pukiEm,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.705,0.661,8,-7.284,1,0.0517,0.203,0.0,0.125,0.469,132.969,177250
Non mi va (feat. Ketama126),2lDZ8D0J4zIGRU1wRN2tCf,"['Gianni Bismark', 'Ketama126']","['26PZBCQnswFp61ccTrVJOa', '0pSx3asj3usz5PRt8COo0E']",Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.726,0.611,6,-9.572,1,0.0981,0.189,0.0,0.126,0.666,96.024,183750
BLISTER (feat. Franco126),2QDYjH6jUYG61QlEfMyzdL,"['Noyz Narcos', 'Night Skinny', 'Franco126']","['49UAapOfpOg1ZOU4xf2NgY', '2E6AK3UPEGCvjnzuygCh2h', '2KkO9uXHF9BVNJASjLekAc']",VIRUS,1PuzNok4t4FnyY92G202UU,0.714,0.719,7,-6.611,0,0.076,0.194,0.0,0.159,0.487,93.979,199149
Eiwa,70AH4lwvClHUixegv3l324,"['Rayan', 'Intifaya']","['6doCr3greqY545Eo7IsY3m', '1sSz8a84ezDX1LhXCIgt41']",Eiwa,5VwzFhZqZtoNuAH66snDIm,0.825,0.577,0,-9.933,1,0.0593,0.772,5.58e-06,0.1,0.751,125.011,179040
La G La U La E pt.2,3PHUQDyGYZhRJFSwbTXnsG,Guè,7F2utINZ6tSokSiZTQBE27,GVESVS,1fONeOwepyow1t4dUw0RcL,0.567,0.857,10,-4.814,0,0.212,0.156,0.0,0.135,0.938,83.371,145434
C’avevo un amico,1vBfKyRYtI75qCaqZnUGIA,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.634,0.52,1,-10.05,1,0.0622,0.721,2.08e-05,0.11,0.485,80.009,184000
VICTORY LAP,5ZmZ6RKNcFbIrdf1rSB3IO,"['Noyz Narcos', 'MACE']","['49UAapOfpOg1ZOU4xf2NgY', '7gjqZ8coFZimZDtdk04WP1']",VIRUS,1PuzNok4t4FnyY92G202UU,0.501,0.711,1,-5.935,1,0.101,0.049,0.0,0.733,0.329,117.339,134328
"FALENA (feat. Franco126, Coez & Ketama126)",1FEAEKjVQLZuSeb0omUxep,"['Sick Luke', 'Franco126', 'Coez', 'Ketama126']","['0hk4xVujcyOr6USD95wcWb', '2KkO9uXHF9BVNJASjLekAc', '5dXlc7MnpaTeUIsHLVe3n4', '0pSx3asj3usz5PRt8COo0E']",X2,6ZVOpNfX2JMfAFDqEfmyQ5,0.595,0.68,0,-5.665,0,0.0553,0.161,0.0,0.198,0.235,95.89,215016
Svuotatasche,6I28wnb48iMVVfyTSf4lkx,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.489,0.367,0,-10.254,1,0.0878,0.369,0.0,0.198,0.524,131.302,231602
Miti sbagliati,0zYh16RbFHCYEL8UcE7mMr,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.691,0.74,7,-6.334,0,0.157,0.371,0.0,0.0984,0.141,140.04,120562
WELCOME BACK (feat. Raekwon),5E0PcREYdAn70xQPylf76v,"['Noyz Narcos', 'Raekwon', 'Night Skinny']","['49UAapOfpOg1ZOU4xf2NgY', '2yQf6b8hxahZaT5dHlWaB1', '2E6AK3UPEGCvjnzuygCh2h']",VIRUS,1PuzNok4t4FnyY92G202UU,0.643,0.852,8,-5.448,0,0.486,0.279,0.0,0.0893,0.705,79.129,203544
Domai (feat. Ketama126),0g24bBP2htW3TWumtSMRNO,"['Guè', 'Ketama126']","['7F2utINZ6tSokSiZTQBE27', '0pSx3asj3usz5PRt8COo0E']",GVESVS,1fONeOwepyow1t4dUw0RcL,0.609,0.801,11,-6.033,0,0.169,0.513,0.0,0.51,0.31,86.006,178253
Fottiti (feat. Tony Effe),1J6HctZmOX2JTHlOd1VMpU,"['Bresh', 'SHUNE', 'Tony Effe']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr', '6CKch2otN4SPznHf9ms5JF']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.51,0.719,1,-7.434,0,0.266,0.0821,0.0,0.239,0.601,168.032,139938
Boni,29tnMrWQp9JRweexF1t8xy,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.686,0.395,1,-9.038,1,0.0544,0.769,0.0,0.114,0.0649,109.953,154500
Pochette (feat. Noyz Narcos),7px3nxEoSvAHCvAZq3r38W,"['Gemitaiz', 'Noyz Narcos']","['4upwdFMlZBmQ68jP9jPzjK', '49UAapOfpOg1ZOU4xf2NgY']",Eclissi,0VliboIrLzdC2Qgjdm5V4S,0.705,0.556,1,-7.3,1,0.247,0.163,0.0682,0.0771,0.45,86.176,181430
"Stay Away (feat. Ketama126, Side Baby & Franco126)",6oZJl2T2hdHnMYcZR6VJGb,"['Night Skinny', 'Ketama126', 'Side Baby', 'Franco126']","['2E6AK3UPEGCvjnzuygCh2h', '0pSx3asj3usz5PRt8COo0E', '6PXiPeUVFrlaC1n8511ijT', '2KkO9uXHF9BVNJASjLekAc']",Mattoni,1l1cFQQfIbsDDbPavkCosf,0.65,0.521,6,-10.012,1,0.0893,0.219,0.0,0.134,0.574,180.086,216000
Alcool & Acqua (feat. PSICOLOGI),4UpCWcaJdu26OxLwxd3baF,"['Bresh', 'SHUNE', 'PSICOLOGI']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr', '0fskdccy6fvnWMNMNPqEro']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.703,0.706,8,-7.32,1,0.161,0.198,0.0,0.121,0.705,120.027,171438
Ragazzi Di Strada,65ow9xQMuffIagM48kghSj,"['Ugo Borghetti', 'Gianni Bismark']","['3i6za4KlTDNe8mducqnwJi', '26PZBCQnswFp61ccTrVJOa']",Primo Soccorso,3CmiDP6aqbDaQXUayjxPG6,0.592,0.666,2,-7.622,0,0.082,0.138,0.0,0.351,0.148,143.897,161832
VIRUS,21PGTyPShWqLrBaTUd3k20,"['Noyz Narcos', 'Sine']","['49UAapOfpOg1ZOU4xf2NgY', '4IEJn7FhTQoNgvSlBH8H6n']",VIRUS,1PuzNok4t4FnyY92G202UU,0.541,0.834,9,-4.713,1,0.389,0.057,0.0,0.103,0.614,144.281,150833
Indiani e cowboy,2hzs6t2s4qO0vCyx7Tf2o4,Jake La Furia,6JFRI91YaCXREGQYzHSnUH,Ferro del mestiere,3MmCBPYzRAiMZc5tFMu0NL,0.852,0.672,6,-6.174,0,0.237,0.243,0.0,0.049,0.613,120.178,194104
Angelina Jolie,0tD4EXZRm1JGDYWtKYFLWK,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",Angelina Jolie,6sE81aPV364gLYtUBwgzwR,0.681,0.691,4,-6.684,0,0.181,0.073,0.0,0.113,0.644,160.338,169671
Bravi ragazzi,11fNoRkDMs5DckXCxJs4of,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.659,0.629,5,-7.679,1,0.0228,0.144,0.0,0.107,0.4,100.007,176000
ANIMALE (feat. Noyz Narcos & The Whispers),0xZ2VIJQlVOY0SlMoQMzfD,"['Ketama126', 'Noyz Narcos', 'The Whispers']","['0pSx3asj3usz5PRt8COo0E', '49UAapOfpOg1ZOU4xf2NgY', '2XzHxDFTNywDd5ReMhgxkg']",Armageddon,1EIX7SM9G5apJAPLAyjiAq,0.796,0.565,0,-7.848,1,0.32,0.232,0.0,0.511,0.542,148.101,157867
NUN CE PENZÀ,3PpgbB4N9rMu4c2FKYyANb,LIBERATO,4X89u81dkCXBSGo8i2DhMW,LIBERATO II,2C6181H1enBSZDL8kbhUXQ,0.663,0.707,6,-9.082,1,0.085,0.0777,0.0,0.31,0.646,114.99,272870
Skillato,6NU0PV9CGMCUvZ1IqflUab,"['Vaz Tè', 'Garelli']","['65ddsrNChT3wol9kEIJqKY', '5appupCr1pI8I1k3AWstc6']",VT2M,2p3ziJelLL0XuQzYFTq0bh,0.649,0.841,8,-2.421,1,0.0509,0.0101,0.0,0.166,0.323,119.997,163958
Già l'ho vista (feat. Gemitaiz),4E093AlXCXnj6FEYbHA2v1,"['Gianni Bismark', 'Gemitaiz']","['26PZBCQnswFp61ccTrVJOa', '4upwdFMlZBmQ68jP9jPzjK']",Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.937,0.461,1,-7.765,1,0.226,0.191,0.0,0.111,0.246,100.03,205125
DOPE BOY,6r4QPSgVEV5ZXJVqarKaQn,"['Noyz Narcos', 'Night Skinny']","['49UAapOfpOg1ZOU4xf2NgY', '2E6AK3UPEGCvjnzuygCh2h']",VIRUS,1PuzNok4t4FnyY92G202UU,0.753,0.587,11,-5.669,0,0.153,0.295,0.0,0.129,0.0754,93.97,159096
Se Rinasco (feat. Massimo Pericolo & Crookers),7FjBYxeIKPSJ4urbawvnUO,"['Bresh', 'SHUNE', 'Massimo Pericolo', 'Crookers']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr', '1El4YQA8oCXX7ynFSxRTFq', '3o1cwVQfiDWafhYA02k13C']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.545,0.648,11,-8.437,0,0.206,0.128,0.0,0.135,0.242,79.567,185813
BABY GODDAMN,3yWHQ4n4ARLDfYTuT2NhnN,Tananai,35V1WomiedCJeGfupcPm7s,BABY GODDAMN,6bOKRuocPC83OuQDrRIklj,0.819,0.764,10,-3.311,0,0.1,0.0317,2.73e-05,0.0579,0.885,114.033,149605
Sono anni che ti cerco,5VvRyV7VR1heXP355nQQ3T,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.602,0.527,7,-9.707,1,0.351,0.667,0.0,0.179,0.55,82.24,186000
Giotto,1o0IVFtS29c8FRNuFrIADS,Vaz Tè,65ddsrNChT3wol9kEIJqKY,VT2M,2p3ziJelLL0XuQzYFTq0bh,0.436,0.824,1,-5.569,1,0.224,0.0649,0.0,0.0763,0.483,120.668,161311
Blitz! (feat. Geolier),00gEB0MSDWojSbzIt1TrFT,"['Guè', 'Geolier']","['7F2utINZ6tSokSiZTQBE27', '27LlKWxS3KXW7RRAxN5S8s']",GVESVS,1fONeOwepyow1t4dUw0RcL,0.766,0.674,0,-6.728,1,0.264,0.191,0.0,0.115,0.442,125.128,180267
Sinnò Me Moro,6omR8yT1cfOhgLTzccpg9R,"['Noyz Narcos', 'Night Skinny']","['49UAapOfpOg1ZOU4xf2NgY', '2E6AK3UPEGCvjnzuygCh2h']",Enemy,1o6bsMz4Zj1S1eLC4y5uaJ,0.49,0.711,1,-7.03,1,0.268,0.0774,1.27e-06,0.0928,0.477,175.95,213493
Fischio e tuta (feat. Jake La Furia),5kMiazB1ivWqyGZuxfF9ws,"['Gianni Bismark', 'Jake La Furia']","['26PZBCQnswFp61ccTrVJOa', '6JFRI91YaCXREGQYzHSnUH']",Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.702,0.583,11,-9.193,0,0.136,0.165,0.0,0.0769,0.121,123.952,178000
"Blueface (feat. Izi, Tedua)",2Ctj9DfXfh9kW3erTp907i,"['Disme', 'Vaz Tè', 'Izi', 'Tedua']","['0CXnO9kUawdDjzToSqCC3p', '65ddsrNChT3wol9kEIJqKY', '6289Bbkkk3gaCbh1K7Rv8F', '1AgAVqo74e2q4FVvg0xpT7']",Glory Days EP,2rxe8Kwyd417YSYmSXs0CI,0.483,0.819,8,-4.404,0,0.0783,0.148,0.0,0.224,0.528,93.331,222968
Stanotte,4bT1poy15EhpYUVJuqtdZN,"['Gemello', 'Sine', 'Gemitaiz']","['3GNq6JwYWh8B2xujy6ub04', '4IEJn7FhTQoNgvSlBH8H6n', '4upwdFMlZBmQ68jP9jPzjK']",UNtitled,5rNKTGMry1qFTtgmlpdy0f,0.663,0.847,9,-5.138,0,0.129,0.0805,0.0,0.0883,0.685,77.06,220562
NO PROBLEM,2wisNgYa40XJz9SHd8PEXE,Bresh,7FeObngbQ0GY3SojNwKdKn,CHE IO MI AIUTI,0EPRc36lZm7irBGc6dVQTY,0.657,0.792,8,-6.466,1,0.0934,0.019,0.0,0.111,0.345,172.044,216024
Dobbiamo andar via,2IKLIqJLJPUmvEmljrYrWN,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.703,0.489,6,-10.89,0,0.644,0.638,0.0,0.12,0.727,80.796,161375
BENEDIZIONE,7ycYIqsUC3obgi5BnHM8VM,Ketama126,0pSx3asj3usz5PRt8COo0E,Armageddon,1EIX7SM9G5apJAPLAyjiAq,0.67,0.477,1,-8.057,0,0.0501,0.156,8.06e-05,0.0845,0.319,142.934,150484
VERANO ZOMBIE PT.3 (feat. Gemello & Metal Carter),5FUSmeF3iIYBXsANx5Z6A6,"['Noyz Narcos', 'Gemello', 'Metal Carter']","['49UAapOfpOg1ZOU4xf2NgY', '3GNq6JwYWh8B2xujy6ub04', '0H4qKbzvpxPEz0Vbm7ULo4']",VIRUS,1PuzNok4t4FnyY92G202UU,0.594,0.879,9,-4.988,1,0.383,0.129,0.0,0.196,0.369,89.791,258667
Parli Di Me (feat. Rkomi),0hRc3InGWplN0WKV2VT06n,"['Bresh', 'SHUNE', 'Rkomi']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr', '056KMTw6IztdQjBmFfVyO3']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.738,0.515,11,-7.93,0,0.156,0.044,0.0,0.319,0.664,97.013,162500
Parole al vento (feat. Speranza),49HBprkEHV38GX3HzBr8Rg,"['Gianni Bismark', 'Speranza']","['26PZBCQnswFp61ccTrVJOa', '0W0oW3iaBwbtcXqdDrfC6F']",Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.804,0.682,9,-8.899,0,0.164,0.538,0.0,0.12,0.169,104.045,135233
Sotto Controllo,4s7CdZE34K2v2AH0EBKPEc,"['Silent Bob', 'Sick Budd']","['4oEO6Ud3efrjTNSR9SMleI', '5h8RF4h6OhX1zIssiLPndr']",Piove Ancora,4YFbmYCyhx8cC8AvOVT8DO,0.84,0.547,2,-6.243,1,0.103,0.446,0.0,0.0842,0.494,133.912,136119
NUNNEOVER,2zS0OYlDeXF6iNLougbIFL,LIBERATO,4X89u81dkCXBSGo8i2DhMW,LIBERATO II,2C6181H1enBSZDL8kbhUXQ,0.712,0.53,3,-9.092,0,0.0588,0.23,0.000463,0.107,0.632,93.007,207742
RABBIA DISTILLATA,3em916bP0hSXqbfWpYWP9g,Bresh,7FeObngbQ0GY3SojNwKdKn,CHE IO MI AIUTI,0EPRc36lZm7irBGc6dVQTY,0.451,0.684,8,-7.159,1,0.337,0.238,1.18e-06,0.178,0.363,82.213,156448
Febbre a Febbraio (feat. Lil Kvneki),6QDNyom34TEQE6AzfEVE8Y,"['Gianni Bismark', 'Lil Kvneki']","['26PZBCQnswFp61ccTrVJOa', '5NT6SamVXGrIp1Z1lE2Eyn']",Febbre a febbraio,7w5fn5wnpXeIc91o3e3WAd,0.556,0.413,7,-14.259,1,0.166,0.715,0.000695,0.109,0.213,80.579,186917
PIOVE (feat. Sfera Ebbasta),6BUueuMQR4k7CuoMEsnGou,"['Lazza', 'Sfera Ebbasta']","['0jdNdfi4vAuVi7a6cPDFBM', '23TFHmajVfBtlRx5MXqgoz']",SIRIO,2v7KXdLrb81rGL9G7jwcjF,0.381,0.627,4,-5.446,0,0.114,0.232,0.0,0.0803,0.458,187.835,155863
ARMAGEDDON,2cYtIz2gdidZub932LdVdc,"['Ketama126', 'Nino Brown']","['0pSx3asj3usz5PRt8COo0E', '6Vhlft027tAZsPuFuXCLZo']",Armageddon,1EIX7SM9G5apJAPLAyjiAq,0.648,0.662,2,-7.544,0,0.0406,0.169,1.74e-05,0.101,0.458,141.958,153520
Step By Step,2XAc52iETi9FAGypO1oZAX,"['Tedua', 'Bresh']","['1AgAVqo74e2q4FVvg0xpT7', '7FeObngbQ0GY3SojNwKdKn']",Orange County California,7GWVPJPcu8o1LCw94e5Rew,0.707,0.641,4,-6.966,0,0.229,0.356,0.0,0.0967,0.674,130.914,194160
Paura di me,3nQZ8p01zU2GJmT797Ly4g,"['Axos', 'JVLI']","['7fE7lNK6tsXhCOfYfxQ3wT', '4rj3KWaLAnuxgtMMkypZhf']",MANIE,6OOoZYr0RlCH3GwA8e1vCE,0.797,0.584,6,-7.053,1,0.208,0.753,7.96e-05,0.125,0.556,140.025,156000
Un'altra pacca,5ROKRNox8OHczrXSgZKGFq,Gianni Bismark,26PZBCQnswFp61ccTrVJOa,Bravi Ragazzi,0DA1lPCOI0RDsVL9ty6ltS,0.572,0.526,11,-14.304,0,0.883,0.966,0.0,0.097,0.626,90.011,68360
SPARANDO ALLA LUNA (feat. Carl Brave & Pretty Solero),0gwcV3tZ0Rl7wftXuz1ajO,"['Ketama126', 'Carl Brave', 'Pretty Solero']","['0pSx3asj3usz5PRt8COo0E', '29nrwultxQ8jENVmXoyMqK', '3kgjDFMkBBMlr7DXoBYDA0']",Armageddon,1EIX7SM9G5apJAPLAyjiAq,0.597,0.614,0,-7.116,1,0.0532,0.0463,5.5e-06,0.0786,0.308,149.874,233841
Lingerie,1HEGcG1QUJfyyPfq5EMF9b,"['Tedua', 'Sfera Ebbasta']","['1AgAVqo74e2q4FVvg0xpT7', '23TFHmajVfBtlRx5MXqgoz']",Orange County California,7GWVPJPcu8o1LCw94e5Rew,0.64,0.637,9,-7.816,1,0.0479,0.0119,5.71e-05,0.0973,0.129,128.065,198027
Come Stai (feat. Izi),2S9ST4PsqOyvUj0YvfmxXl,"['Bresh', 'SHUNE', 'Izi']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr', '6289Bbkkk3gaCbh1K7Rv8F']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.72,0.55,11,-9.379,0,0.055,0.498,0.0,0.137,0.272,134.097,166983
COMINCIA TU (feat. Rosa Chemical),00aZI3Ds8liGrcqEetsEYf,"['Tananai', 'Rosa Chemical']","['35V1WomiedCJeGfupcPm7s', '5gYADZXuZoaJwrwfAPbKuH']",COMINCIA TU (feat. Rosa Chemical),4gv0l18cRn8WKpn84WeY8U,0.694,0.682,9,-4.735,0,0.0651,0.0295,0.0,0.644,0.798,112.028,149196
COCA ROSA (feat. Raf Camora),7bdoJW6LS63oFH3rEmbXKj,"['Ketama126', 'RAF Camora']","['0pSx3asj3usz5PRt8COo0E', '0Dvx6p8JDyzeOPGmaCIH1L']",Armageddon,1EIX7SM9G5apJAPLAyjiAq,0.76,0.777,4,-6.244,0,0.0576,0.197,0.0,0.138,0.277,93.996,148547
Rital,4JFfGMEjMhmlwtdmh5JQiJ,"['Tedua', 'Chris Nolan']","['1AgAVqo74e2q4FVvg0xpT7', '1xsYReh7zhty26wD4tprKh']",Mowgli,2F4YVNFy52kTEGDXdeYiZX,0.865,0.717,4,-6.185,0,0.294,0.0517,0.0,0.0969,0.661,115.93,203413
Hooligans,1b9gSi3I7ei5NbnM974NOU,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",Che io ci aiuti,2E7FoEPUap1gOqOQOgQWqc,0.558,0.75,8,-5.497,1,0.043,0.0992,0.0,0.32,0.483,156.907,147981
Ferma A Guardare (feat. Pinguini Tattici Nucleari),1eDC4NiUYgQSKpKDIvXxi4,"['Ernia', 'Pinguini Tattici Nucleari']","['3fhMfkPPzksWuw0hEm4ldm', '6RdcIWVKYYzNzjQRd3oyHS']",Gemelli,2hHDTcf1MzvkDdFm0CEujn,0.585,0.724,9,-5.611,0,0.0967,0.445,0.0,0.1,0.547,162.05,213543
"PAROLA - feat. Lazza, Emis Killa",2tQ7vPjN88wkQl5hSNSbVF,"['Giaime', 'Lazza', 'Emis Killa', 'Andry The Hitmaker']","['3sC3sCpqSYClSdKez9Rs6k', '0jdNdfi4vAuVi7a6cPDFBM', '6FtwCmLY6L1sqvjaQ2lV6G', '6hb3ftxbKAFsOiNCdFbyzJ']",MULA,3eDMLC0gVgI6K1O9oMc686,0.722,0.747,4,-7.028,0,0.0792,0.311,0.000821,0.112,0.477,164.092,203415
LOVE BANDANA – feat. Tedua,65bM8F5KQPK4idHTJJbZEA,"['Ketama126', 'Tedua', 'Chris Nolan']","['0pSx3asj3usz5PRt8COo0E', '1AgAVqo74e2q4FVvg0xpT7', '1xsYReh7zhty26wD4tprKh']",KETY,16ZpCL3NyIj00qxEIpROPh,0.68,0.774,4,-6.671,1,0.118,0.294,0.0,0.12,0.557,77.478,212880
Questo no,3GblzYXGPn0HcOj6mxXUs1,"['Vaz Tè', 'Bresh']","['65ddsrNChT3wol9kEIJqKY', '7FeObngbQ0GY3SojNwKdKn']",Questo no,5LElBz6Ix3HyelgazJQ3vL,0.791,0.638,4,-9.322,0,0.158,0.0291,0.000106,0.12,0.292,119.004,199446
Pa que lo gocen (feat. Dollar Selmouni & Blasfem),0TcHENybtIPcEPfr4bSPpA,"['FERNANDOCOSTA', 'Blasfem', 'Dollar Selmouni']","['5dC7EcwWdf9Qj4VvJab4rZ', '4FActBvkmDc8h3sI5vbMPZ', '2544NCTfffschCn1NZVMSb']",Yipiyou,0QlYj53TIFDRDq6E7GrRXH,0.678,0.627,6,-7.287,0,0.107,0.35,0.0,0.116,0.281,90.02,220964
Toutes générations (feat. Rim'K),7uKWxxcwpY4f5Tsy3fA6yR,"['PLK', ""Rim'K""]","['3DCWeG2J1fZeu0Oe6i5Q6m', '2eh8cEKZk4VeruUrGq748D']",Enna,0IBVzjJxYn6o69T4FfXMLi,0.817,0.625,6,-6.014,0,0.255,0.042,0.0,0.0474,0.825,96.965,179213
Pezzi (feat. Side),6S1BoAiJeJ96A09tHIwJuy,"['Ketama126', 'Side']","['0pSx3asj3usz5PRt8COo0E', '1Bt8RmyfBi8j4r5SzSVhjj']",Ketam-City,17lNq3fxff1JNqcHtbWuOR,0.654,0.649,4,-7.007,0,0.0651,0.00199,0.000107,0.116,0.311,121.908,211999
PARA' - feat. Tedua,4dTZAG78TpWGifu1kMefaF,"['Bresh', 'Tedua']","['7FeObngbQ0GY3SojNwKdKn', '1AgAVqo74e2q4FVvg0xpT7']",CHE IO MI AIUTI,0EPRc36lZm7irBGc6dVQTY,0.749,0.653,1,-8.404,1,0.107,0.18,0.0,0.0812,0.682,140.926,176008
Mi Sento Vivo (feat. Franco126),1c1OvbTdYjo1MJ3DhYn8P5,"['Gianni Bismark', 'Franco126', 'G Ferrari']","['26PZBCQnswFp61ccTrVJOa', '2KkO9uXHF9BVNJASjLekAc', '02i5S2ZvFZTFVSlhO7umae']",Nati Diversi,2SgaGj8qN96m3vVEUOD85M,0.708,0.457,2,-8.262,1,0.0645,0.573,3.82e-06,0.111,0.41,132.961,173233
BUGIA (feat. Tory Lanez),7hbcRsR3AfOtNfjRrZAChl,"['Lazza', 'Tory Lanez']","['0jdNdfi4vAuVi7a6cPDFBM', '2jku7tDXc6XoB6MO2hFuqg']",SIRIO,2v7KXdLrb81rGL9G7jwcjF,0.693,0.784,9,-5.678,0,0.046,0.0458,0.0,0.165,0.349,99.914,204227
SU E GIU',59s3E17AhxVg8TxVK9yh3D,Ketama126,0pSx3asj3usz5PRt8COo0E,Armageddon,1EIX7SM9G5apJAPLAyjiAq,0.805,0.338,9,-10.186,0,0.0334,0.395,0.0126,0.102,0.429,128.963,168581
